Group,Set,Condition,Sentence,word_order,interpretation,exi_type
1,1,uni-exi_surf,학교에서 모든 학생이 어떤 선생님을 비판했다. 그 선생님들이 시험지를 유출했기 때문이다.,uni-exi,surface,etten
2,1,uni-exi_inv,학교에서 모든 학생이 어떤 선생님을 비판했다. 그 선생님이 시험지를 유출했기 때문이다.,uni-exi,inverse,etten
3,1,exi-uni_surf,학교에서 어떤 학생이 모든 선생님을 비판했다. 그 학생은 평소 예의가 없기로 유명했다.,exi-uni,surface,etten
4,1,exi-uni_inv,학교에서 어떤 학생이 모든 선생님을 비판했다. 그 학생들은 평소 예의가 없기로 유명했다.,exi-uni,inverse,etten
2,2,uni-exi_surf,식당에서 모든 손님이 어떤 요리사를 칭찬했다. 그 요리사들의 솜씨가 훌륭했기 때문이다.,uni-exi,surface,etten
3,2,uni-exi_inv,식당에서 모든 손님이 어떤 요리사를 칭찬했다. 그 요리사의 솜씨가 훌륭했기 때문이다.,uni-exi,inverse,etten
4,2,exi-uni_surf,식당에서 어떤 손님이 모든 요리사를 칭찬했다. 그 손님은 많은 팁을 남기고 갔다. ,exi-uni,surface,etten
1,2,exi-uni_inv,식당에서 어떤 손님이 모든 요리사를 칭찬했다. 그 손님들은 많은 팁을 남기고 갔다.,exi-uni,inverse,etten
3,3,uni-exi_surf,병원에서 모든 간호사가 어떤 환자를 돌보았다. 그 환자들은 중환자실에 입원해 있었다.,uni-exi,surface,etten
4,3,uni-exi_inv,병원에서 모든 간호사가 어떤 환자를 돌보았다. 그 환자는 중환자실에 입원해 있었다. ,uni-exi,inverse,etten
1,3,exi-uni_surf,병원에서 어떤 간호사가 모든 환자를 돌보았다. 그 간호사가 당직이었기 때문이다.,exi-uni,surface,etten
2,3,exi-uni_inv,병원에서 어떤 간호사가 모든 환자를 돌보았다. 그 간호사들이 당직이었기 때문이다.,exi-uni,inverse,etten
4,4,uni-exi_surf,화실에서 모든 화가가 어떤 모델을 그렸다. 그 모델들은 한 시간동안 같은 자세로 서 있었다.,uni-exi,surface,etten
1,4,uni-exi_inv,화실에서 모든 화가가 어떤 모델을 그렸다. 그 모델은 한 시간동안 같은 자세로 서 있었다.,uni-exi,inverse,etten
2,4,exi-uni_surf,화실에서 어떤 화가가 모든 모델을 그렸다. 그 화가는 인물 스케치를 특히 좋아했다.,exi-uni,surface,etten
3,4,exi-uni_inv,화실에서 어떤 화가가 모든 고양이를 그렸다. 그 화가들은 인물 스케치를 특히 좋아했다.,exi-uni,inverse,etten
1,5,uni-exi_surf,서울역에서 모든 경찰관이 어떤 도둑을 잡았다.  그 도둑들은 구치소에 수감되었다.,uni-exi,surface,etten
2,5,uni-exi_inv,서울역에서 모든 경찰관이 어떤 도둑을 잡았다. 그 도둑은 구치소에 수감되었다. ,uni-exi,inverse,etten
3,5,exi-uni_surf,서울역에서 어떤 경찰관이 모든 도둑을 잡았다. 그 경찰관은 다음 달 인사고과를 잘 받았다.,exi-uni,surface,etten
4,5,exi-uni_inv,서울역에서 어떤 경찰관이 모든 도둑을 잡았다. 그 경찰관들은 다음 달 인사고과를 잘 받았다.,exi-uni,inverse,etten
2,6,uni-exi_surf,학회에서 모든 언어학자가 어떤 이론을 주장했다. 그 이론들은 설득력이 있었다.,uni-exi,surface,etten
3,6,uni-exi_inv,학회에서 모든 언어학자가 어떤 이론을 주장했다. 그 이론은 설득력이 있었다.,uni-exi,inverse,etten
4,6,exi-uni_surf,학회에서 어떤 언어학자가 모든 이론을 주장했다. 그 언어학자는 다른 사람들의 피드백에 귀를 귀울였다.,exi-uni,surface,etten
1,6,exi-uni_inv,학회에서 어떤 언어학자가 모든 이론을 주장했다. 그 언어학자들은 다른 사람들의 피드백에 귀를 귀울였다.,exi-uni,inverse,etten
3,7,uni-exi_surf,뉴욕에서 모든 사진사가 어떤 관광객을 찍었다. 그 관광객들은 패션 감각이 좋았다. ,uni-exi,surface,etten
4,7,uni-exi_inv,뉴욕에서 모든 사진사가 어떤 관광객을 찍었다. 그 관광객은 패션 감각이 좋았다. ,uni-exi,inverse,etten
1,7,exi-uni_surf,뉴욕에서 어떤 사진사가 모든 관광객을 찍었다. 그 사진사는 스냅 사진을 잘 찍는 것으로 알려져있었다.,exi-uni,surface,etten
2,7,exi-uni_inv,뉴욕에서 어떤 사진사가 모든 관광객을 찍었다. 그 사진사들은 스냅 사진을 잘 찍는 것으로 알려져있었다.,exi-uni,inverse,etten
4,8,uni-exi_surf,키즈카페에서 모든 부모가 어떤 아이를 때렸다. 그 아이들은 울음을 터뜨렸다.,uni-exi,surface,etten
1,8,uni-exi_inv,키즈카페에서 모든 부모가 어떤 아이를 때렸다. 그 아이는 울음을 터뜨렸다.,uni-exi,inverse,etten
2,8,exi-uni_surf,키즈카페에서 어떤 부모가 모든 아이를 때렸다.  그 부모는 직원에 의해 곧바로 제지 당했다.,exi-uni,surface,etten
3,8,exi-uni_inv,키즈카페에서 어떤 부모가 모든 아이를 때렸다. 그 부모들은 직원에 의해 곧바로 제지 당했다.,exi-uni,inverse,etten
